,,Default,20190807-오전,일자-중간1(점심),오전,일자-중간2,선미,일자-중간3,일자-중간4,일자-중간5,일자-마지막,아샬,오후,총소비량
,,,8/7/2019,12:30 PM,,1:51 PM,,3:00 PM,4:00 PM,5:06 PM,5:55 PM,,,
초코하임,,,,,,,0,,,,,0,,
미쯔,,,,,,,0,,,,,0,,
화이트하임,,,,,,,0,,,,,0,,
후레쉬베리,,,,,,,0,,,,,0,,
카스타드,,,,,,,0,,,,,0,,
초코파이,망고 바나나,,,,,,0,,,,,0,,
포테이토크리스피,사우어크림어니언,,,,,,0,,,,,0,,
포테이토크리스피,바베큐맛,,,,,,0,,,,,0,,
크라운산도,딸기크림치즈,,,,,,0,,,,,0,,
크라운산도,스윗밀크,,,,,,0,,,,,0,,
오레오,,,,,,,0,,,,,0,,
키드오,,93,93,88,5,87,6,87,87,84,83,4,5,10
크리스피롤,,34,26,34,0,33,1,30,30,29,24,9,10,10
누네띠네,,38,38,28,10,27,11,26,26,23,22,5,6,16
카스타드,,12,12,2,10,1,11,0,0,0,0,1,2,12
쿠쿠다스,그냥?~,36,36,30,6,26,10,19,20,14,10,16,20,26
버터링,,4,4,3,1,1,3,1,1,1,1,0,2,3
예감,오리지널,4,4,1,3,0,4,0,0,0,0,0,1,4
예감,치즈그라탕,4,4,0,4,0,4,0,0,0,0,0,0,4
촉촉한 초코칩,,12,,,0,12,0,8,7,0,0,12,12,12
버터와플,,12,,,0,12,0,9,8,4,0,12,12,12
오뜨,치즈,6,,,0,6,0,3,0,0,0,6,6,6
IVY,,6,,,0,,6,6,5,4,4,-4,2,2
고소미,,12,,,0,,12,,12,9,7,-7,5,5
참크래커,,,,,0,,0,,,,,0,0,
빅파이,,,,,0,,0,,,,,0,0,
마가렛트,,,,,0,,0,,,,,0,0,
빈츠,,,,,0,,0,,,,,0,0,
칸쵸,스윗밀크,,,,0,,0,,,,,0,0,
칸쵸,초코,,,,0,,0,,,,,0,0,
몽쉘,카카오,,,,0,,0,,,,,0,0,
몽쉘,생크림,,,,0,,0,,,,,0,0,
바나나,,,,,0,,0,,,,,0,0,
다이제 씬,,,,,0,,0,,,,,0,0,
뽀또,,,,,0,,0,,,,,0,0,
마이쭈,복숭아,,,,0,,0,,,,,0,0,
마이쭈,딸기,,,,0,,0,,,,,0,0,
롤리폴리,초코,,,,0,,0,,,,,0,0,
칙촉,,,,,0,,0,,,,,0,0,
마이쮸,사과,,,,0,,0,,,,,0,0,
마이쮸,포도,,,,0,,0,,,,,0,0,
자유시간,,,,,0,,0,,,,,0,,
참쌀이야기,,,,,0,,0,,,,,0,,
자가비,,,,,0,,0,,,,,0,,
로투스,,,,,0,,0,,,,,0,,
롯데샌드,,,,,0,,0,,,,,0,,
스위트 포테이토 크리스피(보라색),,,,,0,,0,,,,,0,,
포테이토 크리스피,사워크림,,,,0,,0,,,,,0,,
쿠크다스,화이트토르테,,,,0,,0,,,,,0,,
쿠크다스,비엔나커피,,,,0,,0,,,,,0,,
ABC초코쿠키,,,,,0,,0,,,,,0,,
미니초코칩,,,,,0,,0,,,,,0,,
초코틴틴,,,,,0,,0,,,,,0,,
아몬드 블라썸,,,,,0,,0,,,,,0,,
,,,,,,,,,,,,0,,
