,,Default,8/8/2019-오전,일자-중간1,오전,일자-중간2,일자-중간3,일자-중간4,오후,총 소비량,,오전,오후,"오전, 오후 소비량 차이(오전-오후)",오전/총소비량,오후/총소비량
브랜드이름,맛,,10:27,12:30,,14:26,15:28,16:23,,,,,,,,
초코하임,,9,9,5,4,0,0,0,5,9,,4,5,-1,0.4444444444,0.5555555556
미쯔,,,,,0,,,,0,0,,0,0,0,,
화이트하임,,9,9,4,5,2,0,0,4,9,,5,4,1,0.5555555556,0.4444444444
후레쉬베리,,6,6,2,4,0,0,0,2,6,,4,2,2,0.6666666667,0.3333333333
카스타드,,,,,0,,,,0,0,,0,0,0,,
초코파이,망고 바나나,,,,0,,,,0,0,,0,0,0,,
포테이토크리스피,사우어크림어니언,,,,0,,,,0,0,,0,0,0,,
포테이토크리스피,바베큐맛,,,,0,,,,0,0,,0,0,0,,
크라운산도,딸기크림치즈,16,16,10,6,10,8,4,6,12,,6,6,0,0.5,0.5
크라운산도,스윗밀크,,,,0,,,,0,0,,0,0,0,,
오레오,,,,,0,,,,0,0,,0,0,0,,
키드오,,83,83,81,2,80,78,78,3,5,,2,3,-1,0.4,0.6
크리스피롤,,24,24,20,4,20,20,20,0,4,,4,0,4,1,0
누네띠네,,21,21,21,0,21,21,21,0,0,,0,0,0,,
카스타드,,,,,0,,,,0,0,,0,0,0,,
쿠쿠다스,그냥?~,6,6,3,3,3,0,0,3,6,,3,3,0,0.5,0.5
버터링,,1,1,0,1,0,0,0,0,1,,1,0,1,1,0
예감,오리지널,,,,0,,,,0,0,,0,0,0,,
예감,치즈그라탕,,,,0,,,,0,0,,0,0,0,,
촉촉한 초코칩,,,,,0,,,,0,0,,0,0,0,,
버터와플,,,,,0,,,,0,0,,0,0,0,,
오뜨,치즈,,,,0,,,,0,0,,0,0,0,,
IVY,,,,,0,,,,0,0,,0,0,0,,
고소미,,6,6,6,0,4,4,3,3,3,,0,3,-3,0,1
참크래커,,6,6,3,3,3,0,0,3,6,,3,3,0,0.5,0.5
빅파이,,12,12,6,6,6,6,4,2,8,,6,2,4,0.75,0.25
마가렛트,,12,12,8,4,7,5,3,5,9,,4,5,-1,0.4444444444,0.5555555556
빈츠,,24,24,5,19,4,0,0,5,24,,19,5,14,0.7916666667,0.2083333333
칸쵸,스윗밀크,,,,,,,,,0,,,,,,
칸쵸,초코,,,,,,,,,0,,,,,,
몽쉘,카카오,,,,,,,,,0,,,,,,
몽쉘,생크림,,,,,,,,,0,,,,,,
바나나,,,,,,,,,,0,,,,,,
다이제 씬,,,,,,,,,,0,,,,,,
뽀또,,,,,,,,,,0,,,,,,
마이쭈,복숭아,,,,,,,,,0,,,,,,
마이쭈,딸기,,,,,,,,,0,,,,,,
롤리폴리,초코,,,,,,,,,0,,,,,,
칙촉,,,,,,,,,,0,,,,,,
마이쮸,사과,,,,,,,,,0,,,,,,
마이쮸,포도,,,,,,,,,0,,,,,,
자유시간,,,,,,,,,,0,,,,,,
참쌀이야기,,,,,,,,,,0,,,,,,
자가비,,,,,,,,,,0,,,,,,
로투스,,,,,,,,,,0,,,,,,
롯데샌드,,,,,,,,,,0,,,,,,
스위트 포테이토 크리스피(보라색),,,,,,,,,,0,,,,,,
포테이토 크리스피,사워크림,,,,,,,,,0,,,,,,
쿠크다스,화이트토르테,,,,,,,,,0,,,,,,
쿠크다스,비엔나커피,,,,,,,,,0,,,,,,
ABC초코쿠키,,,,,,,,,,0,,,,,,
미니초코칩,,,,,,,,,,0,,,,,,
초코틴틴,,,,,,,,,,0,,,,,,
아몬드 블라썸,,,,,,,,,,0,,,,,,
