,,Default,8/9/2019-오전,일자-중간1,오전,선미,일자-중간2,일자-중간3,아샬,오후,총 소비량
브랜드이름,맛,,10:00,11:00,,,15:08,16:05,,,
초코하임,,,,,,,,,0,,
미쯔,,,,,,,,,0,,
화이트하임,,,,,,,,,0,,
후레쉬베리,,,,,,,,,0,,
카스타드,,,,,,,,,0,,
초코파이,망고 바나나,,,,,,,,0,,
포테이토크리스피,사우어크림어니언,,,,,,,,0,,
포테이토크리스피,바베큐맛,,,,,,,,0,,
크라운산도,딸기크림치즈,2,2,2,0,0,1,0,2,2,2
크라운산도,스윗밀크,,,,,,,,0,0,
오레오,,,,,,,,,0,0,
키드오,,77,77,77,0,0,75,70,7,7,7
크리스피롤,,19,19,19,0,0,20,19,0,0,0
누네띠네,,20,20,20,0,0,19,18,2,2,2
카스타드,,,,,,,,,0,0,
쿠쿠다스,그냥?~,,,,,,,,0,0,
버터링,,,,,,,,,0,0,
예감,오리지널,,,,,,,,0,0,
예감,치즈그라탕,,,,,,,,0,0,
촉촉한 초코칩,,,,,,,,,0,0,
버터와플,,,,,,,,,0,0,
오뜨,치즈,,,,,,,,0,0,
IVY,,,,,,,,,0,0,
고소미,,3,3,3,0,0,3,0,3,3,3
참크래커,,,,,,,,,0,0,
빅파이,,4,4,3,1,1,2,0,3,3,4
마가렛트,,2,2,2,0,0,1,0,2,2,2
빈츠,,,,,,,,,0,0,
칸쵸,스윗밀크,,,,,,,,0,0,
칸쵸,초코,,,,,,,,0,0,
몽쉘,카카오,,,,,,,,0,0,
몽쉘,생크림,,,,,,,,0,0,
바나나,,,,,,,,,0,0,
다이제 씬,,,,,,,,,0,0,
뽀또,,,,,,,,,0,0,
마이쭈,복숭아,,,,,,,,0,0,
마이쭈,딸기,,,,,,,,0,0,
롤리폴리,초코,,,,,,,,0,0,
칙촉,,,,,,,,,0,0,
마이쮸,사과,,,,,,,,0,0,
마이쮸,포도,,,,,,,,0,0,
자유시간,,,,,,,,,0,0,
참쌀이야기,,,,,,,,,0,0,
자가비,,,,,,,,,0,0,
로투스,,,,,,,,,0,0,
롯데샌드,,,,,,,,,0,0,
스위트 포테이토 크리스피(보라색),,,,,,,,,0,0,
포테이토 크리스피,사워크림,,,,,,,,0,0,
쿠크다스,화이트토르테,,,,,,,,0,0,
쿠크다스,비엔나커피,,,,,,,,0,0,
ABC초코쿠키,,,,,,,,,0,0,
미니초코칩,,,,,,,,,0,0,
초코틴틴,,,,,,,,,0,0,
아몬드 블라썸,,,,,,,,,0,0,
,,,,,,,,,0,0,
,,,,,,,,,0,0,
,,,,,,,,,0,0,
,,,,,,,,,0,0,
