,,default,8/12/2019-오전,일자-중간1,일자-중간2,오전,일자-중간3,선미,일자-중간4,일자-중간5,일자-마지막,아샬,오후,total
브랜드이름,맛,,9:50,10:53,12:58,,14:41,,15:53,17:00,18:00,,,
초코하임,,18,,18,15,3,11,7,7,6,6,5,9,12
미쯔,,,,,,0,,0,,,,0,0,0
화이트하임,,22,22,18,17,5,15,7,6,5,0,15,17,22
후레쉬베리,,,,,,0,,0,,,,0,0,0
카스타드,,,,,,0,,0,,,,0,0,0
초코파이,망고 바나나,,,,,0,,0,,,,0,0,0
포테이토크리스피,사우어크림어니언,,,,,0,,0,,,,0,0,0
포테이토크리스피,바베큐맛,,,,,0,,0,,,,0,0,0
크라운산도,딸기크림치즈,1,1,1,0,1,0,1,,,,0,0,1
크라운산도,스윗밀크,,,,,0,,0,,,,0,0,0
오레오,,,,,,0,,0,,,,0,0,0
키드오,,59,59,50,43,16,43,16,43,43,43,0,0,16
크리스피롤,,19,19,16,15,4,15,4,15,16,16,-1,-1,3
누네띠네,,56,56,56,56,0,56,0,53,54,54,2,2,2
카스타드,,,,,,0,,0,,,,0,0,0
쿠쿠다스,그냥?~,,,,,0,,0,,,,0,0,0
버터링,,4,4,3,3,1,3,1,3,3,3,0,0,1
예감,오리지널,,,,,0,,0,,,,0,0,0
예감,치즈그라탕,8,8,4,4,4,4,4,0,0,,4,4,8
촉촉한 초코칩,,,,,,0,,0,,,,0,0,0
버터와플,,,,,,0,,0,,,,0,0,0
오뜨,치즈,,,,,0,,0,,,,0,0,0
IVY,,,,,,0,,0,,,,0,0,0
고소미,,,,,,0,,0,,,,0,0,0
참크래커,,,,,,0,,0,,,,0,0,0
빅파이,,2,2,2,1,1,1,1,1,1,1,0,0,1
마가렛트,,,,,,0,,0,,,,0,0,0
빈츠,,24,,24,24,0,24,0,16,15,11,13,13,13
칸쵸,스윗밀크,1,1,0,0,1,0,1,0,0,,0,0,1
칸쵸,초코,1,1,0,0,1,0,1,0,0,,0,0,1
몽쉘,카카오,6,6,0,0,6,0,6,0,0,,0,0,6
몽쉘,생크림,,,,,0,,0,,,,0,0,0
바나나,,38,38,10,9,29,9,29,6,2,0,9,9,38
다이제 씬,,9,,9,9,0,9,0,4,0,0,9,9,9
뽀또,,14,14,12,11,3,11,3,9,9,7,4,4,7
마이쭈,복숭아,3,3,2,1,2,1,2,0,0,,1,1,3
마이쭈,딸기,3,,3,2,1,2,1,1,1,0,2,2,3
롤리폴리,초코,19,,19,15,4,13,6,7,5,4,9,11,15
칙촉,,12,,12,8,4,8,4,3,1,0,8,8,12
마이쮸,사과,,,,,0,,0,,,,0,0,0
마이쮸,포도,,,,,0,,0,,,,0,0,0
자유시간,,,,,,0,,0,,,,0,0,0
참쌀이야기,,,,,,0,,0,,,,0,0,0
자가비,,,,,,0,,0,,,,0,0,0
로투스,,,,,,0,,0,,,,0,0,0
롯데샌드,,,,,,0,,0,,,,0,0,0
스위트 포테이토 크리스피(보라색),,,,,,0,,0,,,,0,0,0
포테이토 크리스피,사워크림,,,,,0,,0,,,,0,0,0
쿠크다스,화이트토르테,,,,,0,,0,,,,0,0,0
쿠크다스,비엔나커피,,,,,0,,0,,,,0,0,0
ABC초코쿠키,,,,,,0,,0,,,,0,0,0
미니초코칩,,,,,,0,,0,,,,0,0,0
초코틴틴,,,,,,0,,0,,,,0,0,0
아몬드 블라썸,,,,,,0,,0,,,,0,0,0
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
,,,,,,0,,,,,,,,
